date,title,author,rating,memo
2026-07-04,カフネ,阿部暁子,5,既読・とても面白かった（本屋大賞2025大賞）
2026-07-05,そして、バトンは渡された,瀬尾まいこ,3,既読申告・★3くらい（本屋大賞2019大賞）
2026-08-02,BUTTER,柚木麻子,4,既読申告★4・「面白かった。柚木麻子はいいよね」。柚木麻子作品を今後優先
