level,order,title,author
3A,1,ぐりとぐら,なかがわりえこ
3A,2,はらぺこあおむし,エリック・カール
3A,3,てぶくろ,エウゲーニー・M・ラチョフ
3A,4,おおきなかぶ,A・トルストイ
3A,5,三びきのやぎのがらがらどん,マーシャ・ブラウン
A,10,ふらいぱんじいさん,神沢利子
A,11,エルマーのぼうけん,ルース・スタイルス・ガネット
A,12,いやいやえん,中川李枝子
A,13,ももいろのきりん,中川李枝子
A,14,ロボット・カミイ,古田足日
E,1,モモ,ミヒャエル・エンデ
E,2,ハリー・ポッターと賢者の石,J・K・ローリング
E,3,クローディアの秘密,E・L・カニグズバーグ
E,4,飛ぶ教室,エーリヒ・ケストナー
E,5,ルドルフとイッパイアッテナ,斉藤洋
