level,order,title,author,publisher
E,4,鬼が出た,大西廣 梶山俊夫ほか・絵,福音館書店
E,5,きまぐれロボット,星新一,理論社
E,6,リトルバンパイア1 リュディガーとアントン,ボーデンブルク 川西芙沙・訳,くもん出版
E,7,さよならエルマおばあさん,大塚敦子,小学館
E,8,ぼくは、いつでもぼくだった。,いっこく堂 中村景児・絵,くもん出版
E,9,マジックツリーハウス①恐竜の谷の大冒険,オズボーン 食野雅子・訳,メディアファクトリー
E,10,地球の声に耳をすませて,大木聖子,くもん出版
E,11,キャプテンはつらいぜ,後藤竜二,講談社
E,12,生物の消えた島,田川日出夫 松岡達英・絵,福音館書店
E,13,大造じいさんとガン,椋鳩十,偕成社
E,14,だれも知らない小さな国,佐藤さとる,講談社
E,15,ふしぎの国のアリス,キャロル 芹生一・訳,偕成社
E,16,シャーロットのおくりもの,ホワイト さくまゆみこ・訳,あすなろ書房
E,17,床下の小人たち,ノートン 林容吉・訳,岩波書店
E,18,風にのってきたメアリー・ポピンズ,トラヴァース 林容吉・訳,岩波書店
E,19,ノンちゃん雲に乗る,石井桃子,福音館書店
E,20,若草物語１,オルコット 谷口由美子・訳,講談社
E,21,マヤの一生,椋鳩十,大日本図書
E,22,糸子の体重計,いとうみく 佐藤真紀子・絵,童心社
E,23,ふたりのイーダ,松谷みよ子 司修・絵,講談社
E,24,建具職人の千太郎,岩崎京子 田代三善・絵,くもん出版
E,25,少年探偵ブラウン 〔１〕,ソボル 花輪莞爾・訳,偕成社
E,26,杉原千畝物語,命のビザをありがとう 杉原幸子・杉原弘樹,金の星社
E,27,青い目のネコと魔女をおえ,ディヤング 黒沢浩・訳,文研出版
E,28,かはたれ,朽木祥 山内ふじ江・画,福音館書店
E,29,ライオンと魔女,ルイス 瀬田貞二・訳,岩波書店
E,30,長い長いお医者さんの話,チャペック 中野好夫・訳,岩波書店
E,31,星と伝説,野尻抱影,偕成社
E,32,童話集 風と木の歌,安房直子 司修・絵,偕成社
E,33,イワンのばか,トルストイ 金子幸彦・訳,岩波書店
E,34,アルバートおじさんの時間と空間の旅,スタナード 岡田好惠・訳,くもん出版
E,35,エーミールと探偵たち,ケストナー 池田香代子・訳,岩波書店
E,36,ハイジ,シュピーリ 矢川澄子・訳,福音館書店
E,37,トム・ソーヤーの冒険,トウェイン 吉田甲子太郎・訳,偕成社
E,38,べんり屋、寺岡の夏。,中山聖子,文研出版
E,39,イクバルの闘い,ダダモ 荒瀬ゆみこ・訳,すずき出版
E,40,かぎりなくやさしい花々,星野富弘,偕成社
E,41,一ふさのぶどう,有島武郎,偕成社
E,42,ぼくたちのリアル,戸森しるこ 佐藤真紀子・絵,講談社
E,43,怪人二十面相,江戸川乱歩,ポプラ社
E,44,たのしい川べ,グレーアム 石井桃子・訳,岩波書店
E,45,コンチキ号漂流記,ハイエルダール 神宮輝夫・訳,偕成社
E,46,森は生きている,富山和子,講談社
E,47,どろぼうのどろぼん,斉藤倫 牡丹靖佳・画,福音館書店
E,48,宝島,スティーブンソン 金原瑞人・訳,偕成社
E,49,キュリー夫人,伊東信,ポプラ社
E,50,新版 ガラスのうさぎ,高木敏子,金の星社
F,1,シートン動物記,シートン 白柳美彦・訳,偕成社
F,2,赤神と黒神,まつたにみよこ まるきいり・絵,ポプラ社
F,3,ぼくのお姉さん,丘修三,偕成社
F,4,ともだちは海のにおい,工藤直子,理論社
F,5,魔女の宅急便,角野栄子,福音館書店
F,6,星の王子さま,テグジュペリ 内藤濯・訳,岩波書店
F,7,木をかこう,ムナーリ 須賀敦子・訳,至光社
F,8,マザー・テレサ,かぎりない愛の奉仕 沖守弘,くもん出版
F,9,クマのプーさん,ミルン 石井桃子・訳,岩波書店
F,10,オズの魔法使い,バウム 渡辺茂男・訳,福音館書店
F,11,あしながおじさん,ウェブスター 谷川俊太郎・訳,理論社
F,12,パスワードは、ひ・み・つ,松原秀行,講談社
F,13,ふたつの家のちえ子,今村葦子,評論社
F,14,ジャングル・ブック,キップリング 金原瑞人・訳,偕成社
F,15,お江戸の百太郎,那須正幹 小松良佳・絵,ポプラ社
F,16,チョコレート工場の秘密,ダール 柳瀬尚紀・訳,評論社
F,17,素数ゼミの謎,吉村仁 石森愛彦・絵,文藝春秋
F,18,ぼくとベルさん 友だちは発明王,ロイ 櫛田理絵・訳,研究所
F,19,くちぶえ番長,重松清,新潮社
F,20,月のえくぼを見た男 麻田剛立,鹿毛敏夫 関屋敏隆・画,くもん出版
F,21,飛ぶ教室,ケストナー 若松宣子・訳,偕成社
F,22,こんぴら狗,今井恭子 いぬんこ・画,くもん出版
F,23,二十四の瞳,壺井栄,ポプラ社
F,24,バッテリー,あさのあつこ,教育画劇
F,25,ファーブル昆虫記Ⅰ,ファーブル 奥本大三郎・訳,集英社
F,26,肥後の石工,今西祐行,岩波書店
F,27,白旗の少女,比嘉富子,講談社
F,28,クローディアの秘密,カニグズバーグ 松永ふみ子・訳,岩波書店
F,29,木を植えた男,ジオノ 寺岡襄・訳,あすなろ書房
F,30,ハッピーバースデー,青木和雄 加藤美紀・画,金の星社
F,31,大草原の小さな家,ワイルダー こだまともこ・渡辺南都子・訳,講談社
F,32,精霊の守り人,上橋菜穂子 二木真希子・絵,偕成社
F,33,秘密の花園,バーネット 山内玲子・訳,岩波書店
F,34,トムは真夜中の庭で,ピアス 高杉一郎・訳,岩波書店
F,35,ぽっぺん先生の日曜日,舟崎克彦,岩波書店
F,36,赤毛のアン,モンゴメリー 掛川恭子・訳,講談社
F,37,怪盗紳士ルパン,ルブラン 竹西英夫・訳,偕成社
F,38,次郎物語,下村湖人,講談社
F,39,ギリシア神話,高津春繁・高津久美子・訳,偕成社
F,40,天と地を測った男 伊能忠敬,岡崎ひでたか 高田勲・画,くもん出版
F,41,ビルマの竪琴,竹山道雄,偕成社
F,42,自分の脳を自分で育てる,川島隆太,くもん出版
F,43,ナイチンゲール,ブラウン 茅野美ど里・訳,偕成社
F,44,タイムマシン,ウェルズ 金原瑞人・訳,岩波書店
F,45,小さな雪の町の物語,杉みき子,童心社
F,46,ハリー・ポッターと賢者の石,ローリング 松岡佑子・訳,静山社
F,47,アラビアン・ナイト,ウィギン・編 スミス・編 坂井晴彦・訳,福音館書店
F,48,モモ,エンデ 大島かおり・訳,岩波書店
F,49,算法少女,遠藤寛子,筑摩書房
F,50,十五少年漂流記,ヴェルヌ 波多野完治・訳,新潮社
G,1,兎の眼,灰谷健次郎,角川書店
G,2,西の魔女が死んだ,梨木香歩,新潮社
G,3,竹取物語,星新一・訳 ひと和・絵,角川書店
G,4,にんじん,ルナール 高野優・訳,新潮社
G,5,しゃばけ,畠中恵,新潮社
G,6,ユタとふしぎな仲間たち,三浦哲郎,新潮社
G,7,夏の庭,湯本香樹実,新潮社
G,8,絵のない絵本,アンデルセン 山室静・訳,童心社
G,9,道具にヒミツあり,小関智弘,岩波書店
G,10,少年H,妹尾河童,講談社
G,11,クリスマス・キャロル,ディケンズ 夏目道子・訳,金の星社
G,12,五体不満足,乙武洋匡,講談社
G,13,そこに僕はいた,辻仁成,新潮社
G,14,少年動物誌,河合雅雄,福音館書店
G,15,ハックルベリー・フィンの冒険,トウェイン 西田実・訳,岩波書店
G,16,ガラスの家族,パターソン 岡本浜江・訳,偕成社
G,17,あのころはフリードリヒがいた,リヒター 上田真而子・訳,岩波書店
G,18,小説は君のためにある,藤谷治,筑摩書房
G,19,杜子春・くもの糸,芥川龍之介,偕成社
G,20,ことばの力,川崎洋,岩波書店
G,21,坊っちゃん,夏目漱石,偕成社
G,22,銀河鉄道の夜,宮沢賢治,角川書店
G,23,のんのんばあとオレ,水木しげる,筑摩書房
G,24,ぼくはイエローでホワイトで、ちょっとブルー,ブレイディみかこ,新潮社
G,25,ちいさなちいさな王様,ハッケ 那須田淳・木本栄・訳,講談社
G,26,アンネの日記,フランク 深町眞理子・訳,文藝春秋
G,27,冒険者たち,斎藤惇夫,岩波書店
G,28,ヒルベルという子がいた,ヘルトリング 上田真而子・訳,偕成社
G,29,新釈遠野物語,井上ひさし,新潮社
G,30,しろばんば,井上靖,新潮社
G,31,君たちはどう生きるか,吉野源三郎,ポプラ社
G,32,古事記物語,福永武彦,岩波書店
G,33,くちびるに歌を,中田永一,小学館
G,34,まちがったっていいじゃないか,森毅,筑摩書房
G,35,サキ短編集,サキ 中村能三・訳,新潮社
G,36,銀の匙,中勘助,角川書店
G,37,清兵衛と瓢簞・小僧の神様,志賀直哉,集英社
G,38,路傍の石,山本有三,新潮社
G,39,はてしない物語,エンデ 上田真而子・佐藤真理子・訳,岩波書店
G,40,クラバート,プロイスラー 中村浩三・訳,偕成社
G,41,シェイクスピア物語,ラム 矢川澄子・訳,岩波書店
G,42,海底二万里,ヴェルヌ 渋谷豊・訳,角川書店
G,43,ふしぎなことば ことばのふしぎ,池上嘉彦,筑摩書房
G,44,シャーロック・ホームズの冒険,ドイル 延原謙・訳,新潮社
G,45,しゃべれども しゃべれども,佐藤多佳子,新潮社
G,46,詩のこころを読む,茨木のり子,岩波書店
G,47,いのちの食べかた,森達也,角川書店
G,48,「晴耕雨読」 の読書法,村田一夫,くもん出版
G,49,ボクの音楽武者修行,小澤征爾,新潮社
G,50,影との戦い ゲド戦記1,グウィン 清水真砂子・訳,岩波書店
H,1,どくとるマンボウ航海記,北杜夫,新潮社
H,2,短歌をつくろう,栗木京子,岩波書店
H,3,風が強く吹いている,三浦しをん,新潮社
H,4,カラフル,森絵都,文藝春秋
H,5,スキップ,北村薫,新潮社
H,6,ぼくらの七日間戦争,宗田理,角川書店
H,7,二十歳の火影,宮本輝,講談社
H,8,老人と海,ヘミングウェイ 高見浩・訳,新潮社
H,9,穴,サッカー 幸田敦子・訳,講談社
H,10,友情,武者小路実篤,岩波書店
H,11,パニック・裸の王様,開高健,新潮社
H,12,さぶ,山本周五郎,新潮社
H,13,山椒魚,井伏鱒二,新潮社
H,14,ボッコちゃん,星新一,新潮社
H,15,解剖学教室へようこそ,養老孟司,筑摩書房
H,16,ソフィーの世界,ゴルデル 池田香代子・訳,出版
H,17,武士道シックスティーン,誉田哲也,文藝春秋
H,18,博士の愛した数式,小川洋子,新潮社
H,19,こころの処方箋,河合隼雄,新潮社
H,20,父の詫び状,向田邦子,文藝春秋
H,21,伊豆の踊子,川端康成,新潮社
H,22,流れる星は生きている,藤原てい,中央公論新社
H,23,走れメロス,太宰治,角川書店
H,24,竜馬がゆく,司馬遼太郎,文藝春秋
H,25,冬の旅,立原正秋,新潮社
H,26,おとうと,幸田文,新潮社
H,27,三国志,羅貫中 小川環樹・武部利男・訳,岩波書店
H,28,戦争童話集,野坂昭如,中央公論新社
H,29,ぼくのマンガ人生,手塚治虫,岩波書店
H,30,風立ちぬ・美しい村,堀辰雄,新潮社
H,31,西遊記,呉承恩 和田武司・山谷弘之・訳,さ・え・ら書房
H,32,怪談・奇談,小泉八雲 平川祐弘・編,講談社
H,33,吾輩は猫である,夏目漱石,講談社
H,34,モルグ街の殺人・黄金虫,ポー 巽孝之・訳,新潮社
H,35,夏の葬列,山川方夫,集英社
H,36,変身・断食芸人,カフカ 山下肇・山下萬里・訳,岩波書店
H,37,科学の扉をノックする,小川洋子,集英社
H,38,楽園のカンヴァス,原田マハ,新潮社
H,39,荒野の呼び声,ロンドン 海保眞夫・訳,岩波書店
H,40,いちご同盟,三田誠広,集英社
H,41,車輪の下,ヘッセ 高橋健二・訳,新潮社
H,42,蜜蜂と遠雷,恩田陸,幻冬舎
H,43,O・ヘンリー傑作選Ⅰ 賢者の贈りもの,ヘンリー 小川高義・訳,新潮社
H,44,沈黙の春,カーソン 青樹簗一・訳,新潮社
H,45,レ・ミゼラブル,ユーゴー 豊島与志雄・訳,岩波書店
H,46,チップス先生、さようなら,ヒルトン 白石朗・訳,新潮社
H,47,自分の中に毒を持て,岡本太郎,青春出版社
H,48,ガリヴァ旅行記,スウィフト 中野好夫・訳,新潮社
H,49,ジーキル博士とハイド氏,スティーヴンスン 海保眞夫・訳,岩波書店
H,50,日本語,金田一春彦,岩波書店
I,1,春の数えかた,日高敏隆,新潮社
I,2,塩狩峠,三浦綾子,新潮社
I,3,ウォーターシップ・ダウンのウサギ たち,アダムズ 神宮輝夫・訳,評論社
I,4,ソロモンの指環,ローレンツ 日高敏隆・訳,早川書房
I,5,ナイフ,重松清,新潮社
I,6,もし高校野球の女子マネージャーがドラッカーの 『マネジメント』を読んだら,岩崎夏海,ダイヤモンド社
I,7,機関車先生,伊集院静,講談社
I,8,自分のなかに歴史をよむ,阿部謹也,筑摩書房
I,9,生物と無生物のあいだ,福岡伸一,講談社
I,10,遠い海から来たCOO,景山民夫,角川書店
I,11,山椒大夫・高瀬舟,森鷗外,新潮社
I,12,異邦人,カミュ 窪田啓作・訳,新潮社
I,13,阿Ｑ正伝・狂人日記,魯迅 竹内好・訳,岩波書店
I,14,野火,大岡昇平,新潮社
I,15,ジュリアス・シーザー,シェイクスピア 福田恆存・訳,新潮社
I,16,新版 荒れ野の40年,ヴァイツゼッカー 永井清彦・訳,岩波書店
I,17,海と毒薬,遠藤周作,新潮社
I,18,小さき者へ・生れ出づる悩み,有島武郎,新潮社
I,19,人間失格,太宰治,新潮社
I,20,暗夜行路,志賀直哉,新潮社
I,21,羅生門・鼻・芋粥,芥川龍之介,角川書店
I,22,破戒,島崎藤村,新潮社
I,23,沈黙,遠藤周作,新潮社
I,24,カナダ＝エスキモー,本多勝一,朝日新聞社
I,25,ゾウの時間 ネズミの時間,本川達雄,中央公論新社
I,26,平安女子の楽しい！生活,川村裕子,岩波書店
I,27,「甘え」 の構造,土居健郎,弘文堂
I,28,砂糖の世界史,川北稔,岩波書店
I,29,夜間飛行,テグジュペリ 堀口大學・訳,新潮社
I,30,若きウェルテルの悩み,ゲーテ 竹山道雄・訳,岩波書店
I,31,生きることの意味,高史明,筑摩書房
I,32,嵐が丘,ブロンテ 鴻巣友季子・訳,新潮社
I,33,藤十郎の恋・恩讐の彼方に,菊池寛,新潮社
I,34,天、共に在り,中村哲,出版
I,35,黒い雨,井伏鱒二,新潮社
I,36,李陵・山月記,中島敦,新潮社
I,37,冬の鷹,吉村昭,新潮社
I,38,トオマス・マン短篇集,マン 実吉捷郎・訳,岩波書店
I,39,天平の甍,井上靖,新潮社
I,40,思考の整理学,外山滋比古,筑摩書房
I,41,こころ,夏目漱石,新潮社
I,42,古代への情熱,シュリーマン 関楠生・訳,新潮社
I,43,動物農場,オーウェル 高畠文夫・訳,角川書店
I,44,ロビンソン・クルーソー,デフォー 鈴木恵・訳,新潮社
I,45,夜と霧,フランクル 池田香代子・訳,みすず書房
I,46,科学の考え方・学び方,池内了,岩波書店
I,47,宇宙からの帰還,立花隆,中央公論新社
I,48,自分を知るための哲学入門,竹田青嗣,筑摩書房
I,49,罪と罰,ドストエフスキー 工藤精一郎・訳,新潮社
I,50,戦争と平和,トルストイ 工藤精一郎・訳,新潮社
