level,order,title,author,publisher
4A,50,とこちゃんはどこ,松岡享子 加古里子・絵,福音館書店
3A,1,はらぺこあおむし,カール もりひさし・訳,偕成社
3A,2,バスでおでかけ,間瀬なおかた,ひさかたチャイルド
3A,3,どうぶつはやくちあいうえお,きしだえりこ かたやまけん・絵,のら書店
3A,4,ちいさなたまねぎさん,せなけいこ,金の星社
3A,5,にんじんさんがあかいわけ,松谷みよ子 ひらやまえいぞう・絵,童心社
3A,6,あおくんときいろちゃん,レオーニ 藤田圭雄・訳,至光社
3A,7,まほうのコップ,長谷川摂子 川島敏生・写真,福音館書店
3A,8,きつねとねずみ,ビアンキ 山田三郎・絵,福音館書店
3A,9,こいぬがうまれるよ,コール ウェクスラー・写真,福音館書店
3A,10,わたし,谷川俊太郎 長新太・絵,福音館書店
3A,11,わたしのワンピース,にしまきかやこ,こぐま社
3A,12,ぼくとおとうさん,宮本忠夫,くもん出版
3A,13,ぼくとおかあさん,宮本忠夫,くもん出版
3A,14,ぼちぼちいこか,セイラー グロスマン・絵,偕成社
3A,15,ちびゴリラのちびちび,ボーンスタイン いわたみみ・訳,ほるぷ出版
3A,16,あいうえおばけだぞ,五味太郎,絵本館
3A,17,しろくまのパンツ,tupera tupera,ブロンズ新社
3A,18,ティッチ,ハッチンス いしいももこ・訳,福音館書店
3A,19,14ひきのあさごはん,いわむらかずお,童心社
3A,20,14ひきのおつきみ,いわむらかずお,童心社
3A,21,はけたよはけたよ,かんざわとしこ にしまきかやこ・絵,偕成社
3A,22,まよなかのだいどころ,センダック じんぐうてるお・訳,冨山房
3A,23,パパ、お月さまとって ！,カール もりひさし・訳,偕成社
3A,24,なにをたべてきたの？,岸田衿子 長野博一・絵,佼成出版社
3A,25,てぶくろ,ラチョフ・絵 うちだりさこ・訳,福音館書店
3A,26,しずかなおはなし,マルシャーク レーベデフ・絵,福音館書店
3A,27,おばあさんのすぷーん,神沢利子 富山妙子・絵,福音館書店
3A,28,バムとケロのにちようび,島田ゆか,文溪堂
